ind,name,michelin_award,city,country,lat,lon,image,chef,cuisine1,url,url2,Hotel_Name,h_lat,h_lon
1835,Palazzo Petrucci,ONE_STAR,Naples,Italy,40.8215016,14.2145667,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/a4e04a770e9c4b73bccbe24453121a59,Lino Scarallo,Creative,https://guide.michelin.com/en/campania/napoli/restaurant/palazzo-petrucci,https://guide.michelin.com/en/campania/napoli/restaurant/palazzo-petrucci,Grand Hotel Vesuvio,40.830084,14.2481853
1836,Pang's Kitchen,ONE_STAR,Hong Kong,Hong Kong,22.26921,114.18452,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f20a6e70-3d02-4aec-af8f-052945986928.jpg,,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,https://guide.michelin.com/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,Rosewood Hong Kong,22.2949764,114.1758105
1837,Panorama - Cayenne,ONE_STAR,Steffisburg,Switzerland,46.7872121,7.6208457,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/78c8a4ba496049f7b84f770ed9d87a93,Rolf Fuchs,Modern French,https://guide.michelin.com/en/bern-region/steffisburg/restaurant/panorama-cayenne,https://guide.michelin.com/en/bern-region/steffisburg/restaurant/panorama-cayenne,Hotel Bellevue Palace,46.9466172,7.4467198
1838,Pantagruel,ONE_STAR,Paris,France,48.8700016,2.3464362,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/797da74e-676a-4310-ba73-1a8a1bd5ee55.jpg,Jason Gouzy,Modern Cuisine,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pantagruel,https://guide.michelin.com/en/ile-de-france/paris/restaurant/pantagruel,Luna Park Hôtel,48.8644869,2.3730638
1839,Paolo e Barbara,ONE_STAR,San Remo,Italy,43.8148723,7.7738025,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/45566a0d8eb94c3a9753077e1cf116ba,Paolo Masieri,Modern Cuisine,https://guide.michelin.com/en/liguria/san-remo/restaurant/paolo-e-barbara,https://guide.michelin.com/en/liguria/san-remo/restaurant/paolo-e-barbara,Grand Hotel del Mare,43.7866401,7.6865801
1840,Parachute,ONE_STAR,Chicago,United States,41.94483,-87.70638,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/ace8fa9d-97b7-4df8-a266-724ecfebf3fe.jpg,Johnny Clark,Korean,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,https://guide.michelin.com/en/illinois/chicago/restaurant/parachute,The Peninsula Chicago,41.8959069,-87.6251182
1841,Parizzi,ONE_STAR,Parma,Italy,44.7996181,10.3367404,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/d33a6d37dbbd4984a6e14be7eaed6ead,Marco Parizzi,Creative,https://guide.michelin.com/en/emilia-romagna/parma/restaurant/parizzi,https://guide.michelin.com/en/emilia-romagna/parma/restaurant/parizzi,Park Hotel Pacchiosi,44.8005715,10.3145501
1842,Parkheuvel,TWO_STARS,Rotterdam,Netherlands,51.903823,4.4715943,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/9eeb58cc-b147-47dd-b08c-037e24d1783b.jpg,Erik van Loo,Modern Cuisine,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/parkheuvel,https://guide.michelin.com/en/zuid-holland/rotterdam/restaurant/parkheuvel,Hilton Rotterdam,51.923637,4.4771757
1843,Pascucci al Porticciolo,ONE_STAR,Fiumicino,Italy,41.770165,12.2271443,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/8b1b932846224f74b94eac6aed1a5920,Pascucci Gianfranco,Seafood,https://guide.michelin.com/en/lazio/fiumicino/restaurant/pascucci-al-porticciolo,https://guide.michelin.com/en/lazio/fiumicino/restaurant/pascucci-al-porticciolo,Hotel d'Inghilterra Roma - Starhotels Collezione,41.9047114,12.4806045
1844,Pashà,ONE_STAR,Conversano,Italy,40.9691184,17.1151639,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/96e0ba2e64a84a1a84e364ea5d6430d2,Antonio Zaccardi,Modern Cuisine,https://guide.michelin.com/en/puglia/conversano/restaurant/pasha,https://guide.michelin.com/en/puglia/conversano/restaurant/pasha,Grotta Palazzese Beach Hotel,41.016,17.186626
